cat_type,category,subcategory,period,netsales
Spirits,Asian Spirits,China Spirits,Fiscal 2021/22 Q4,1413830
Spirits,Asian Spirits,China Spirits,Fiscal 2022/23 Q1,1705567
Spirits,Asian Spirits,China Spirits,Fiscal 2022/23 Q2,1018784
Spirits,Asian Spirits,China Spirits,Fiscal 2022/23 Q3,1628744
Spirits,Asian Spirits,China Spirits,Fiscal 2022/23 Q4,1335970
Spirits,Asian Spirits,Korea Spirits,Fiscal 2021/22 Q4,1133764
Spirits,Asian Spirits,Korea Spirits,Fiscal 2022/23 Q1,1361164
Spirits,Asian Spirits,Korea Spirits,Fiscal 2022/23 Q2,982171
Spirits,Asian Spirits,Korea Spirits,Fiscal 2022/23 Q3,1600847
Spirits,Asian Spirits,Korea Spirits,Fiscal 2022/23 Q4,1305191
Spirits,Asian Spirits,Other Country Asian Spirits,Fiscal 2021/22 Q4,189455
Spirits,Asian Spirits,Other Country Asian Spirits,Fiscal 2022/23 Q1,166510
Spirits,Asian Spirits,Other Country Asian Spirits,Fiscal 2022/23 Q2,136863
Spirits,Asian Spirits,Other Country Asian Spirits,Fiscal 2022/23 Q3,241222
Spirits,Asian Spirits,Other Country Asian Spirits,Fiscal 2022/23 Q4,149634
Spirits,Gin,Dry Gin,Fiscal 2021/22 Q4,10522054
Spirits,Gin,Dry Gin,Fiscal 2022/23 Q1,15388552
Spirits,Gin,Dry Gin,Fiscal 2022/23 Q2,16680254
Spirits,Gin,Dry Gin,Fiscal 2022/23 Q3,16028058
Spirits,Gin,Dry Gin,Fiscal 2022/23 Q4,11048287
Spirits,Gin,Flavoured Gin,Fiscal 2021/22 Q4,1036194
Spirits,Gin,Flavoured Gin,Fiscal 2022/23 Q1,1679037
Spirits,Gin,Flavoured Gin,Fiscal 2022/23 Q2,1654658
Spirits,Gin,Flavoured Gin,Fiscal 2022/23 Q3,1461769
Spirits,Gin,Flavoured Gin,Fiscal 2022/23 Q4,898417
Spirits,Gin,Other Gin,Fiscal 2021/22 Q4,464933
Spirits,Gin,Other Gin,Fiscal 2022/23 Q1,530155
Spirits,Gin,Other Gin,Fiscal 2022/23 Q2,638681
Spirits,Gin,Other Gin,Fiscal 2022/23 Q3,699861
Spirits,Gin,Other Gin,Fiscal 2022/23 Q4,469567
Spirits,Grape and Fruit Brandy,Armagnac,Fiscal 2021/22 Q4,129028
Spirits,Grape and Fruit Brandy,Armagnac,Fiscal 2022/23 Q1,46629
Spirits,Grape and Fruit Brandy,Armagnac,Fiscal 2022/23 Q2,39502
Spirits,Grape and Fruit Brandy,Armagnac,Fiscal 2022/23 Q3,160271
Spirits,Grape and Fruit Brandy,Armagnac,Fiscal 2022/23 Q4,168097
Spirits,Grape and Fruit Brandy,Brandy,Fiscal 2021/22 Q4,2367067
Spirits,Grape and Fruit Brandy,Brandy,Fiscal 2022/23 Q1,2433311
Spirits,Grape and Fruit Brandy,Brandy,Fiscal 2022/23 Q2,2006840
Spirits,Grape and Fruit Brandy,Brandy,Fiscal 2022/23 Q3,3819330
Spirits,Grape and Fruit Brandy,Brandy,Fiscal 2022/23 Q4,2196191
Spirits,Grape and Fruit Brandy,Cognac,Fiscal 2021/22 Q4,2482239
Spirits,Grape and Fruit Brandy,Cognac,Fiscal 2022/23 Q1,2837134
Spirits,Grape and Fruit Brandy,Cognac,Fiscal 2022/23 Q2,2148001
Spirits,Grape and Fruit Brandy,Cognac,Fiscal 2022/23 Q3,4313175
Spirits,Grape and Fruit Brandy,Cognac,Fiscal 2022/23 Q4,2548416
Spirits,Grape and Fruit Brandy,Eau de Vie,Fiscal 2021/22 Q4,196062
Spirits,Grape and Fruit Brandy,Eau de Vie,Fiscal 2022/23 Q1,419570
Spirits,Grape and Fruit Brandy,Eau de Vie,Fiscal 2022/23 Q2,209354
Spirits,Grape and Fruit Brandy,Eau de Vie,Fiscal 2022/23 Q3,405605
Spirits,Grape and Fruit Brandy,Eau de Vie,Fiscal 2022/23 Q4,238699
Spirits,Grape and Fruit Brandy,Grappa And Marc,Fiscal 2021/22 Q4,71416
Spirits,Grape and Fruit Brandy,Grappa And Marc,Fiscal 2022/23 Q1,81634
Spirits,Grape and Fruit Brandy,Grappa And Marc,Fiscal 2022/23 Q2,51347
Spirits,Grape and Fruit Brandy,Grappa And Marc,Fiscal 2022/23 Q3,130043
Spirits,Grape and Fruit Brandy,Grappa And Marc,Fiscal 2022/23 Q4,71564
Spirits,Grape and Fruit Brandy,Pisco,Fiscal 2021/22 Q4,101091
Spirits,Grape and Fruit Brandy,Pisco,Fiscal 2022/23 Q1,114010
Spirits,Grape and Fruit Brandy,Pisco,Fiscal 2022/23 Q2,96138
Spirits,Grape and Fruit Brandy,Pisco,Fiscal 2022/23 Q3,164233
Spirits,Grape and Fruit Brandy,Pisco,Fiscal 2022/23 Q4,105858
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,Fiscal 2021/22 Q4,7651475
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,Fiscal 2022/23 Q1,9363445
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,Fiscal 2022/23 Q2,7622633
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,Fiscal 2022/23 Q3,11837081
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,Fiscal 2022/23 Q4,8402226
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,Fiscal 2021/22 Q4,1448185
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,Fiscal 2022/23 Q1,1915480
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,Fiscal 2022/23 Q2,1802352
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,Fiscal 2022/23 Q3,3588010
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,Fiscal 2022/23 Q4,1617615
Spirits,Liqueurs,Cream/Dairy Liqueurs,Fiscal 2021/22 Q4,6608879
Spirits,Liqueurs,Cream/Dairy Liqueurs,Fiscal 2022/23 Q1,8206750
Spirits,Liqueurs,Cream/Dairy Liqueurs,Fiscal 2022/23 Q2,8165807
Spirits,Liqueurs,Cream/Dairy Liqueurs,Fiscal 2022/23 Q3,23991436
Spirits,Liqueurs,Cream/Dairy Liqueurs,Fiscal 2022/23 Q4,6370929
Spirits,Liqueurs,Fruit Liqueurs,Fiscal 2021/22 Q4,4591610
Spirits,Liqueurs,Fruit Liqueurs,Fiscal 2022/23 Q1,6074033
Spirits,Liqueurs,Fruit Liqueurs,Fiscal 2022/23 Q2,6059357
Spirits,Liqueurs,Fruit Liqueurs,Fiscal 2022/23 Q3,7153401
Spirits,Liqueurs,Fruit Liqueurs,Fiscal 2022/23 Q4,5093348
Spirits,Liqueurs,Nut Liqueurs,Fiscal 2021/22 Q4,1236941
Spirits,Liqueurs,Nut Liqueurs,Fiscal 2022/23 Q1,1756331
Spirits,Liqueurs,Nut Liqueurs,Fiscal 2022/23 Q2,1694919
Spirits,Liqueurs,Nut Liqueurs,Fiscal 2022/23 Q3,2182890
Spirits,Liqueurs,Nut Liqueurs,Fiscal 2022/23 Q4,1260482
Spirits,Liqueurs,Other Liqueurs,Fiscal 2021/22 Q4,875993
Spirits,Liqueurs,Other Liqueurs,Fiscal 2022/23 Q1,1128801
Spirits,Liqueurs,Other Liqueurs,Fiscal 2022/23 Q2,1049965
Spirits,Liqueurs,Other Liqueurs,Fiscal 2022/23 Q3,1528604
Spirits,Liqueurs,Other Liqueurs,Fiscal 2022/23 Q4,939744
Spirits,Liqueurs,Whiskey Liqueurs,Fiscal 2021/22 Q4,1382822
Spirits,Liqueurs,Whiskey Liqueurs,Fiscal 2022/23 Q1,1522816
Spirits,Liqueurs,Whiskey Liqueurs,Fiscal 2022/23 Q2,1253170
Spirits,Liqueurs,Whiskey Liqueurs,Fiscal 2022/23 Q3,1879759
Spirits,Liqueurs,Whiskey Liqueurs,Fiscal 2022/23 Q4,1457130
Spirits,Other Spirits,Cachaca,Fiscal 2021/22 Q4,14264
Spirits,Other Spirits,Cachaca,Fiscal 2022/23 Q1,65712
Spirits,Other Spirits,Cachaca,Fiscal 2022/23 Q2,47904
Spirits,Other Spirits,Cachaca,Fiscal 2022/23 Q3,43183
Spirits,Other Spirits,Cachaca,Fiscal 2022/23 Q4,34535
Spirits,Other Spirits,Flavoured Spirits,Fiscal 2021/22 Q4,86171
Spirits,Other Spirits,Flavoured Spirits,Fiscal 2022/23 Q1,160878
Spirits,Other Spirits,Flavoured Spirits,Fiscal 2022/23 Q2,170943
Spirits,Other Spirits,Flavoured Spirits,Fiscal 2022/23 Q3,400100
Spirits,Other Spirits,Flavoured Spirits,Fiscal 2022/23 Q4,70209
Spirits,Other Spirits,Miscellaneous/Other Spirits,Fiscal 2021/22 Q4,259938
Spirits,Other Spirits,Miscellaneous/Other Spirits,Fiscal 2022/23 Q1,336682
Spirits,Other Spirits,Miscellaneous/Other Spirits,Fiscal 2022/23 Q2,292724
Spirits,Other Spirits,Miscellaneous/Other Spirits,Fiscal 2022/23 Q3,411042
Spirits,Other Spirits,Miscellaneous/Other Spirits,Fiscal 2022/23 Q4,236052
