category,subcategory,period,netsales,qtr,yr,end_dt,end_qtr_dt
Domestic - BC Beer ,Domestic - BC Commercial Beer ,FY 2021 Q4 ,99967797,Q4,2021,03-01,2021-03-01
Domestic - BC Beer ,Domestic - BC Commercial Beer ,FY 2022 Q1 ,129417743,Q1,2022,06-30,2022-06-30
Domestic - BC Beer ,Domestic - BC Commercial Beer ,FY 2022 Q2 ,123674577,Q2,2022,09-30,2022-09-30
Domestic - BC Beer ,Domestic - BC Commercial Beer ,FY 2022 Q3 ,108644393,Q3,2022,12-31,2022-12-31
Domestic - BC Beer ,Domestic - BC Commercial Beer ,FY 2022 Q4,99963195,Q4,2022,03-01,2022-03-01
Domestic - BC Beer ,Domestic - BC Micro Brew Beer ,FY 2021 Q4 ,29815252,Q4,2021,03-01,2021-03-01
Domestic - BC Beer ,Domestic - BC Micro Brew Beer ,FY 2022 Q1 ,40396399,Q1,2022,06-30,2022-06-30
Domestic - BC Beer ,Domestic - BC Micro Brew Beer ,FY 2022 Q2 ,41866455,Q2,2022,09-30,2022-09-30
Domestic - BC Beer ,Domestic - BC Micro Brew Beer ,FY 2022 Q3 ,33241563,Q3,2022,12-31,2022-12-31
Domestic - BC Beer ,Domestic - BC Micro Brew Beer ,FY 2022 Q4,31277187,Q4,2022,03-01,2022-03-01
Domestic - BC Beer ,Domestic - BC Regional Beer ,FY 2021 Q4 ,38254238,Q4,2021,03-01,2021-03-01
Domestic - BC Beer ,Domestic - BC Regional Beer ,FY 2022 Q1 ,52231617,Q1,2022,06-30,2022-06-30
Domestic - BC Beer ,Domestic - BC Regional Beer ,FY 2022 Q2 ,50949953,Q2,2022,09-30,2022-09-30
Domestic - BC Beer ,Domestic - BC Regional Beer ,FY 2022 Q3 ,45211597,Q3,2022,12-31,2022-12-31
Domestic - BC Beer ,Domestic - BC Regional Beer ,FY 2022 Q4,40554230,Q4,2022,03-01,2022-03-01
Domestic - Other Province Beer ,Domestic - Other Province Commercial Beer ,FY 2021 Q4 ,28203174,Q4,2021,03-01,2021-03-01
Domestic - Other Province Beer ,Domestic - Other Province Commercial Beer ,FY 2022 Q1 ,46997703,Q1,2022,06-30,2022-06-30
Domestic - Other Province Beer ,Domestic - Other Province Commercial Beer ,FY 2022 Q2 ,46498265,Q2,2022,09-30,2022-09-30
Domestic - Other Province Beer ,Domestic - Other Province Commercial Beer ,FY 2022 Q3 ,32642755,Q3,2022,12-31,2022-12-31
Domestic - Other Province Beer ,Domestic - Other Province Commercial Beer ,FY 2022 Q4,29094978,Q4,2022,03-01,2022-03-01
Domestic - Other Province Beer ,Domestic - Other Province Micro Brew Beer ,FY 2021 Q4 ,150630,Q4,2021,03-01,2021-03-01
Domestic - Other Province Beer ,Domestic - Other Province Micro Brew Beer ,FY 2022 Q1 ,193810,Q1,2022,06-30,2022-06-30
Domestic - Other Province Beer ,Domestic - Other Province Micro Brew Beer ,FY 2022 Q2 ,190749,Q2,2022,09-30,2022-09-30
Domestic - Other Province Beer ,Domestic - Other Province Micro Brew Beer ,FY 2022 Q3 ,147712,Q3,2022,12-31,2022-12-31
Domestic - Other Province Beer ,Domestic - Other Province Micro Brew Beer ,FY 2022 Q4,97128,Q4,2022,03-01,2022-03-01
Domestic - Other Province Beer ,Domestic - Other Province Regional Beer ,FY 2021 Q4 ,592249,Q4,2021,03-01,2021-03-01
Domestic - Other Province Beer ,Domestic - Other Province Regional Beer ,FY 2022 Q1 ,815901,Q1,2022,06-30,2022-06-30
Domestic - Other Province Beer ,Domestic - Other Province Regional Beer ,FY 2022 Q2 ,799486,Q2,2022,09-30,2022-09-30
Domestic - Other Province Beer ,Domestic - Other Province Regional Beer ,FY 2022 Q3 ,620591,Q3,2022,12-31,2022-12-31
Domestic - Other Province Beer ,Domestic - Other Province Regional Beer ,FY 2022 Q4,589032,Q4,2022,03-01,2022-03-01
Import Beer ,Asia And South Pacific Beer ,FY 2021 Q4 ,1122806,Q4,2021,03-01,2021-03-01
Import Beer ,Asia And South Pacific Beer ,FY 2022 Q1 ,1243069,Q1,2022,06-30,2022-06-30
Import Beer ,Asia And South Pacific Beer ,FY 2022 Q2 ,1397488,Q2,2022,09-30,2022-09-30
Import Beer ,Asia And South Pacific Beer ,FY 2022 Q3 ,1463254,Q3,2022,12-31,2022-12-31
Import Beer ,Asia And South Pacific Beer ,FY 2022 Q4,1408293,Q4,2022,03-01,2022-03-01
Import Beer ,Europe Beer ,FY 2021 Q4 ,17343406,Q4,2021,03-01,2021-03-01
Import Beer ,Europe Beer ,FY 2022 Q1 ,21474627,Q1,2022,06-30,2022-06-30
Import Beer ,Europe Beer ,FY 2022 Q2 ,21251499,Q2,2022,09-30,2022-09-30
Import Beer ,Europe Beer ,FY 2022 Q3 ,18991888,Q3,2022,12-31,2022-12-31
Import Beer ,Europe Beer ,FY 2022 Q4,18451253,Q4,2022,03-01,2022-03-01
Import Beer ,Mexico And Caribbean Beer ,FY 2021 Q4 ,1807867,Q4,2021,03-01,2021-03-01
Import Beer ,Mexico And Caribbean Beer ,FY 2022 Q1 ,3689701,Q1,2022,06-30,2022-06-30
Import Beer ,Mexico And Caribbean Beer ,FY 2022 Q2 ,3548890,Q2,2022,09-30,2022-09-30
Import Beer ,Mexico And Caribbean Beer ,FY 2022 Q3 ,1892591,Q3,2022,12-31,2022-12-31
Import Beer ,Mexico And Caribbean Beer ,FY 2022 Q4,2132370,Q4,2022,03-01,2022-03-01
Import Beer ,Other Country Beer ,FY 2021 Q4 ,122427,Q4,2021,03-01,2021-03-01
Import Beer ,Other Country Beer ,FY 2022 Q1 ,117914,Q1,2022,06-30,2022-06-30
Import Beer ,Other Country Beer ,FY 2022 Q2 ,114274,Q2,2022,09-30,2022-09-30
Import Beer ,Other Country Beer ,FY 2022 Q3 ,83505,Q3,2022,12-31,2022-12-31
Import Beer ,Other Country Beer ,FY 2022 Q4,38683,Q4,2022,03-01,2022-03-01
Import Beer ,USA Beer ,FY 2021 Q4 ,1608974,Q4,2021,03-01,2021-03-01
Import Beer ,USA Beer ,FY 2022 Q1 ,2078953,Q1,2022,06-30,2022-06-30
Import Beer ,USA Beer ,FY 2022 Q2 ,1580616,Q2,2022,09-30,2022-09-30
Import Beer ,USA Beer ,FY 2022 Q3 ,1417490,Q3,2022,12-31,2022-12-31
Import Beer ,USA Beer ,FY 2022 Q4,1381312,Q4,2022,03-01,2022-03-01
