category,subcategory,period,netsales,qtr,fyr,cyr,end_dt,end_qtr_dt
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2022 Q1,36875706,Q1,2022,2021,06-30,2021-06-30
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2022 Q2,35266771,Q2,2022,2021,09-30,2021-09-30
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2022 Q3,30907380,Q3,2022,2021,12-31,2021-12-31
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2022 Q4,27944655,Q4,2022,2022,03-01,2022-03-01
Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2023 Q1,34214712,Q1,2023,2022,06-30,2022-06-30
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2022 Q1,8207821,Q1,2022,2021,06-30,2021-06-30
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2022 Q2,8836325,Q2,2022,2021,09-30,2021-09-30
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2022 Q3,6771472,Q3,2022,2021,12-31,2021-12-31
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2022 Q4,6482776,Q4,2022,2022,03-01,2022-03-01
Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2023 Q1,8566303,Q1,2023,2022,06-30,2022-06-30
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2022 Q1,13581174,Q1,2022,2021,06-30,2021-06-30
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2022 Q2,13308580,Q2,2022,2021,09-30,2021-09-30
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2022 Q3,11758239,Q3,2022,2021,12-31,2021-12-31
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2022 Q4,10567789,Q4,2022,2022,03-01,2022-03-01
Domestic - BC Beer,Domestic - BC Regional Beer,FY 2023 Q1,13798902,Q1,2023,2022,06-30,2022-06-30
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2022 Q1,11035881,Q1,2022,2021,06-30,2021-06-30
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2022 Q2,10962503,Q2,2022,2021,09-30,2021-09-30
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2022 Q3,7600035,Q3,2022,2021,12-31,2021-12-31
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2022 Q4,6678532,Q4,2022,2022,03-01,2022-03-01
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2023 Q1,10357363,Q1,2023,2022,06-30,2022-06-30
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2022 Q1,28223,Q1,2022,2021,06-30,2021-06-30
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2022 Q2,29757,Q2,2022,2021,09-30,2021-09-30
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2022 Q3,21985,Q3,2022,2021,12-31,2021-12-31
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2022 Q4,13202,Q4,2022,2022,03-01,2022-03-01
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2023 Q1,25509,Q1,2023,2022,06-30,2022-06-30
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2022 Q1,206978,Q1,2022,2021,06-30,2021-06-30
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2022 Q2,217704,Q2,2022,2021,09-30,2021-09-30
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2022 Q3,174793,Q3,2022,2021,12-31,2021-12-31
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2022 Q4,165113,Q4,2022,2022,03-01,2022-03-01
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2023 Q1,212748,Q1,2023,2022,06-30,2022-06-30
Import Beer,Asia And South Pacific Beer,FY 2022 Q1,239888,Q1,2022,2021,06-30,2021-06-30
Import Beer,Asia And South Pacific Beer,FY 2022 Q2,254727,Q2,2022,2021,09-30,2021-09-30
Import Beer,Asia And South Pacific Beer,FY 2022 Q3,270570,Q3,2022,2021,12-31,2021-12-31
Import Beer,Asia And South Pacific Beer,FY 2022 Q4,249099,Q4,2022,2022,03-01,2022-03-01
Import Beer,Asia And South Pacific Beer,FY 2023 Q1,313099,Q1,2023,2022,06-30,2022-06-30
Import Beer,Europe Beer,FY 2022 Q1,4832013,Q1,2022,2021,06-30,2021-06-30
Import Beer,Europe Beer,FY 2022 Q2,4771033,Q2,2022,2021,09-30,2021-09-30
Import Beer,Europe Beer,FY 2022 Q3,4256283,Q3,2022,2021,12-31,2021-12-31
Import Beer,Europe Beer,FY 2022 Q4,3941421,Q4,2022,2022,03-01,2022-03-01
Import Beer,Europe Beer,FY 2023 Q1,4832342,Q1,2023,2022,06-30,2022-06-30
Import Beer,Mexico And Caribbean Beer,FY 2022 Q1,757252,Q1,2022,2021,06-30,2021-06-30
Import Beer,Mexico And Caribbean Beer,FY 2022 Q2,713914,Q2,2022,2021,09-30,2021-09-30
Import Beer,Mexico And Caribbean Beer,FY 2022 Q3,363156,Q3,2022,2021,12-31,2021-12-31
Import Beer,Mexico And Caribbean Beer,FY 2022 Q4,388696,Q4,2022,2022,03-01,2022-03-01
Import Beer,Mexico And Caribbean Beer,FY 2023 Q1,664559,Q1,2023,2022,06-30,2022-06-30
Import Beer,Other Country Beer,FY 2022 Q1,26884,Q1,2022,2021,06-30,2021-06-30
Import Beer,Other Country Beer,FY 2022 Q2,26917,Q2,2022,2021,09-30,2021-09-30
Import Beer,Other Country Beer,FY 2022 Q3,20945,Q3,2022,2021,12-31,2021-12-31
Import Beer,Other Country Beer,FY 2022 Q4,8878,Q4,2022,2022,03-01,2022-03-01
Import Beer,Other Country Beer,FY 2023 Q1,5548,Q1,2023,2022,06-30,2022-06-30
