category,subcategory,FY 2022 Q1,FY 2022 Q2,FY 2022 Q3,FY 2022 Q4,FY 2023 Q1
Domestic - BC Beer,Domestic - BC Commercial Beer,36875706,35266771,30907380,27944655,34214712
Domestic - BC Beer,Domestic - BC Micro Brew Beer,8207821,8836325,6771472,6482776,8566303
Domestic - BC Beer,Domestic - BC Regional Beer,13581174,13308580,11758239,10567789,13798902
Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,11035881,10962503,7600035,6678532,10357363
Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,28223,29757,21985,13202,25509
Domestic - Other Province Beer,Domestic - Other Province Regional Beer,206978,217704,174793,165113,212748
Import Beer,Asia And South Pacific Beer,239888,254727,270570,249099,313099
Import Beer,Europe Beer,4832013,4771033,4256283,3941421,4832342
Import Beer,Mexico And Caribbean Beer,757252,713914,363156,388696,664559
Import Beer,Other Country Beer,26884,26917,20945,8878,5548
Import Beer,USA Beer,444376,313244,292848,301161,413674
